#;Tipo;Situação;Título;Qual o tipo do produto? ;Texto da busca;Qual foi a data da coleta?;Marketplace;Fabricante;Modelo do Produto;Valor;Existe campo código SCH?;Código SCH foi fornecido?;Qual código SCH fornecido?;Código SCH é o do produto?;Código EAN foi fornecido?;Qual código EAN fornecido?;Código EAN é o do produto?;Produto do anúncio homologado?
150636;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000139;Celulares e Smartphones;smartphone;10/07/2024;Carrefour;Motorola;XT2027-1 / One Hyper;709,00;Sim;Sim;066221900330;Sim;Não;0;Não é possível afirmar;Sim
150635;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000138;Celulares e Smartphones;smartphone;10/07/2024;Carrefour;Samsung;Galaxy S24;5564,90;Sim;Sim;203902300953;Sim;Sim;7892509134507;Sim;Sim
150634;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000137;Celulares e Smartphones;smartphone;10/07/2024;Carrefour;Samsung;Galaxy J6 32GB;449,00;Sim;Sim;023611800953;Sim;Não;0;Não é possível afirmar;Sim
150633;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000136;Celulares e Smartphones;smartphone;10/07/2024;Carrefour;Samsung;Galaxy S24 Ultra;9110,00;Sim;Sim;206372300953;Sim;Não;0;Não é possível afirmar;Sim
150632;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000135;Celulares e Smartphones;smartphone;10/07/2024;Carrefour;Apple;iPhone XR;1349,99;Sim;Sim;058861901993;Não;Não;0;Não é possível afirmar;Não
150631;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000134;Celulares e Smartphones;smartphone;10/07/2024;Carrefour;Apple;iPhone 14;4499,99;Sim;Sim;000512201993;Não;Não;0;Não é possível afirmar;Não
150630;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000133;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;A25 5G;2190,23;Sim;Sim;198292300953;Sim;Sim;7892509135016;Sim;Sim
150629;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000132;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Multi;OB055;329,90;Sim;Sim;047452103111;Não;Não;0;Não é possível afirmar;Não
150628;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000131;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Multilaser;M23 Pro 4G;1199,90;Sim;Sim;217622209185;Não;Sim;7897811415092;Não;Não
150627;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000130;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Multilaser;S168;490,05;Sim;Sim;048382203111;Sim;Sim;7908414457591;Sim;Sim
150626;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000129;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Motorola Edge 40 Neo;1818,00;Sim;Sim;117602300330;Sim;Sim;7892597353347;Sim;Sim
150625;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000128;Celulares e Smartphones;smartphone;10/07/2024;Americanas;LG;LG K41S;959,00;Sim;Sim;054121901003;Não;Não;0;Não é possível afirmar;Sim
150624;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000127;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Apple;Iphone 11 Pro;2105,10;Sim;Sim;056841901993;Sim;Não;0;Não;Não
150623;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000126;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;XT1955-1;1199,00;Sim;Sim;075951800330;Sim;Não;0;Não é possível afirmar;Sim
150622;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000125;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;A15;1037,52;Sim;Sim;198252300953;Sim;Sim;7892509134798;Sim;Sim
150621;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000124;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;XT2169-1 | Moto G71;1421,20;Sim;Sim;124652100330;Sim;Não;0;Não é possível afirmar;Sim
150620;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000123;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Positivo;P38;482,45;Sim;Sim;025931304858;Não;Sim;7904414985546;Não é possível afirmar;Não
150619;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000122;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Realme;Realme 11 5g ;1999,00;Sim;Sim;217672213366;Não;Não;0;Não é possível afirmar;Não
150618;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000121;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Moto G04;1088,00;Sim;Sim;205312300330;Sim;Sim;7892597353699;Sim;Sim
150617;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000120;Celulares e Smartphones;smartphone;10/07/2024;Americanas;XIAOMI;Redmi 13 C;949,00;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
150616;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000119;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Razr 40 5G;4139,91;Sim;Sim;081421900330;Sim;Sim;7892597353217;Não é possível afirmar;Não é possível afirmar
150615;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000118;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;XT2029-3;-1,00;Sim;Sim;062411900330;Sim;Não;0;Não é possível afirmar;Sim
150614;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000117;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;Galaxy S10;3999,99;Sim;Sim;054141600953;Não;Sim;8650000000696;Não é possível afirmar;Não
150613;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000116;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Xiaomi;POCO M4 5G;1274,24;Sim;Sim;051172214550;Sim;Não;0;Não é possível afirmar;Sim
150612;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000115;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Xiaomi;Redmi 13C;950,39;Sim;Sim;000032309185;Não;Sim;6941812754696;Não;Não
150611;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000114;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Smartphone motorola moto g24 4gb 128gb 4gb ram tela 6.6;1084,37;Sim;Sim;052051802149;Não;Sim;7892597353811;Sim;Sim
150610;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000113;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Moto G24;0,00;Sim;Sim;206672300330;Sim;Sim;7892597353880;Sim;Sim
150609;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000112;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;XT2143-1;4417,00;Sim;Sim;081992100330;Sim;Não;0;Não é possível afirmar;Sim
150608;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000111;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;Z Fold5;9987,12;Sim;Sim;080882300953;Sim;Sim;7892509130929;Sim;Sim
150607;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000110;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;Galaxy S24 +;7199,10;Sim;Sim;203882300953;Sim;Não;0;Não é possível afirmar;Sim
150606;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000109;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;A 04e;599,00;Sim;Sim;138462200953;Sim;Sim;7892509126779;Sim;Sim
150605;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000108;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Xiaomi;POCO X6 5G;2331,99;Sim;Sim;001472314550;Não;Não;0;Não é possível afirmar;Não
150604;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000107;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Zte;Blade A3;391,00;Sim;Sim;158922301914;Sim;Sim;7898518000208;Sim;Sim
150603;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000106;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Multilaser; Multilaser G3 Idoso 4g;780,00;Sim;Sim;152872100953;Não;Não;0;Não é possível afirmar;Não
150602;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000105;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Xiaomi;Redmi 13C;998,00;Sim;Sim;175342314550;Sim;Não;0;Não;Não
150601;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000104;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;MOTOROLA EDGE 40 NEO;1860,65;Sim;Sim;117602300330;Sim;Não;0;Não é possível afirmar;Sim
150600;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000103;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Moto E13;749,00;Sim;Sim;182272200330;Sim;Sim;7892597353064;Sim;Sim
150599;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000102;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Nokia;Nokia 105;182,00;Sim;Sim;040492213411;Sim;Não;0;Não é possível afirmar;Sim
150598;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000101;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Multilaser;M23 Pro 4G;1139,90;Sim;Sim;217622209185;Não;Sim;7898190745602;Não;Não
150597;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000100;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Xiaomi;Redmi 13C BR;1079,10;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
150596;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000099;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;Galaxy Note 8;1079,10;Sim;Sim;043861700953;Sim;Sim;7892509095235;Não é possível afirmar;Não é possível afirmar
150595;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000098;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Moto G34;878,67;Sim;Sim;203412300330;Sim;Não;0;Não é possível afirmar;Sim
150594;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000097;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Multilaser;F Pro 2;527,82;Sim;Sim;011672103111;Sim;Sim;7908414420250;Sim;Sim
150593;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000096;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;MOTOROLA G14 4G;828,18;Sim;Sim;093622300330;Sim;Não;0;Não é possível afirmar;Sim
150592;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000095;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;Galaxy S23 fe;2898,90;Sim;Sim;139732300953;Sim;Sim;7892509131698;Não é possível afirmar;Não é possível afirmar
150591;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000094;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;Galaxy A15 5G;1259,10;Sim;Sim;198242300953;Sim;Sim;0;Não é possível afirmar;Sim
150590;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000093;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Xiaomi;Redmi 13C;910,79;Sim;Sim;000032309185;Não;Sim;6941812759516;Não;Não
150589;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000092;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Infinix;Hot 30;1349,00;Sim;Sim;133832315156;Sim;Não;0;Não é possível afirmar;Sim
150588;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000091;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;Galaxy S10e;764,10;Sim;Sim;085071800953;Sim;Sim;7892509105712;Não é possível afirmar;Não é possível afirmar
150587;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000090;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;A15;1599,00;Sim;Sim;032322200953;Não;Não;0;Não é possível afirmar;Sim
150586;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000089;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;A25 5G;1759,12;Sim;Sim;198292300953;Sim;Sim;7892509132763;Sim;Sim
150585;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000088;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;A55;2419,12;Sim;Sim;235492300953;Sim;Não;0;Não é possível afirmar;Sim
150584;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000087;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Realme;C53;1098,00;Sim;Sim;060522313366;Sim;Não;0;Não;Não
150583;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000086;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Tcl;Tcl 40;1258,73;Sim;Sim;009972307600;Sim;Não;0;Não é possível afirmar;Sim
150582;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000085;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;Galaxy M15;999,00;Sim;Sim;238752300953;Sim;Sim;7892509135931;Não é possível afirmar;Não é possível afirmar
150581;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000084;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;XT2423;747,91;Sim;Sim;206672300330;Sim;Não;0;Não é possível afirmar;Sim
150580;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000083;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;MOTO G34 5G;1449,00;Sim;Sim;203412300330;Sim;Sim;7892597353613;Sim;Sim
150579;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000082;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Moto E22;-1,00;Sim;Sim;095232200330;Não;Não;0;Não é possível afirmar;Sim
150578;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000081;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Moto G8 Plus;503,10;Sim;Sim;055791900330;Sim;Sim;7892597348916;Não é possível afirmar;Não é possível afirmar
150577;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000080;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Sansung;A54;2400,00;Sim;Sim;219892200953;Sim;Não;0;Não é possível afirmar;Sim
150576;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000079;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Moto G84 5G;1899,00;Sim;Sim;117072300330;Sim;Sim;7892597353415;Sim;Sim
150575;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000078;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Infinix; Smart 8 Pro;986,48;Sim;Sim;01853-24-15156;Sim;Não;0;Não é possível afirmar;Sim
150574;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000077;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Tcl;405;575,10;Sim;Sim;147642207600;Sim;Sim;7898552005313;Sim;Sim
150573;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000076;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Infinix;Hot 20;879,12;Sim;Sim;031122315156;Sim;Sim;0;Não é possível afirmar;Sim
150572;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000075;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;Moto G84 5G;1745,91;Sim;Sim;117072300330;Sim;Sim;7892597353521;Sim;Sim
150571;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000074;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Multilaser;G MAX 2;490,05;Sim;Sim;048382203111;Sim;Não;0;Não é possível afirmar;Sim
150570;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000073;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Realme;12 Pro Plus;3199,99;Sim;Sim;059572313366;Não;Sim;6941764416666;Não é possível afirmar;Não
150569;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000072;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Motorola;XT2335-1: Motorola moto g53 5G;1055,99;Sim;Sim;174092200330;Sim;Não;0;Não é possível afirmar;Sim
150568;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000071;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Xiaomi;Redmi Note 13;1439,00;Sim;Sim;221962314550;Sim;Não;0;Não;Não é possível afirmar
150567;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000070;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Samsung;S23;3765,52;Sim;Sim;171522200953;Sim;Não;0;Não é possível afirmar;Sim
150566;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000069;Celulares e Smartphones;smartphone;10/07/2024;Americanas;Xiaomi;Redmi Note 12;1219,00;Sim;Sim;000032309185;Sim;Não;0;Não;Não é possível afirmar
150565;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000068;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;SM-A145MLGGZTO | galaxy;1160,00;Sim;Sim;208152200953;Sim;Não;0;Não é possível afirmar;Sim
150564;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000067;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Asus;Zenfone 10;4783,08;Sim;Sim;118332303109;Sim;Não;0;Não é possível afirmar;Sim
150563;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000066;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;WMN5090AE;1297,00;Sim;Sim;095832300953;Sim;Não;0;Não é possível afirmar;Sim
150562;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000065;Outros;smartphone;10/07/2024;Amazon;F2;case;59,00;Não;Não;0;Não;Não;0;Não é possível afirmar;Não
150561;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000064;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;A35;1694,99;Sim;Sim;235482300953;Sim;Não;0;Não é possível afirmar;Sim
150560;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000063;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;M14 5G;1549,00;Sim;Sim;203612200953;Sim;Não;0;Não é possível afirmar;Sim
150559;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000062;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Apple;iPhone 15 Pro;7251,02;Sim;Sim;127832301993;Sim;Não;0;Não é possível afirmar;Sim
150558;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000061;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Positivo;S640;449,90;Sim;Sim;160412203589;Sim;Não;0;Não é possível afirmar;Sim
150557;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000060;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;Note 11s 5G ;999,00;Sim;Sim;021192209185;Sim;Não;0;Sim;Não é possível afirmar
150556;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000059;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;A54 5G (256GB);2400,00;Sim;Sim;219892200953;Sim;Não;0;Não é possível afirmar;Sim
150555;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000058;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;SM-A336MZOLZTO;1622,99;Sim;Sim;184032100953;Sim;Não;0;Não é possível afirmar;Sim
150554;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000057;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Realme;RMX3780;1749,00;Sim;Sim;107332313366;Sim;Não;0;Não é possível afirmar;Sim
150553;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000056;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;M7U | Note 12 ;1299,89;Sim;Sim;000032309185;Sim;Não;0;Não é possível afirmar;Sim
150552;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000055;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;A03 Core;729,99;Sim;Sim;152872100953;Sim;Não;0;Não é possível afirmar;Sim
150551;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000054;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Motorola;XT2421-6;737,11;Sim;Sim;032192400330;Sim;Não;0;Não é possível afirmar;Sim
150550;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000053;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;2311DRK48G | POCO X6 Pro 5G;2219,00;Sim;Sim;217522314550;Sim;Não;0;Não é possível afirmar;Sim
150549;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000052;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;SM-A156M/DS;957,00;Sim;Sim;198242300953;Sim;Não;0;Não é possível afirmar;Sim
150548;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000051;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;Redmi 12C;749,00;Sim;Sim;217622209185;Sim;Não;0;Não é possível afirmar;Sim
150547;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000050;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Apple;iPhone 15 Pro Max;8799,00;Sim;Sim;127822301993;Sim;Não;0;Não é possível afirmar;Sim
150546;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000049;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;REDMI A3;572,86;Sim;Sim;237932314550;Não;Sim;6941812768112;Sim;Não
150545;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000048;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;SM-A546EZWDZTO;2207,00;Sim;Sim;219892200953;Sim;Não;0;Não é possível afirmar;Sim
150544;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000047;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;Redmi NOTE 12 PRO ;-1,00;Sim;Sim;217592209185;Sim;Não;0;Não é possível afirmar;Sim
150543;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000046;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;Note 13 5g;1599,45;Sim;Sim;175602314550;Sim;Não;0;Não é possível afirmar;Sim
150542;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000045;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;2212ARNC4L;699,00;Sim;Sim;217622209185;Sim;Não;0;Não é possível afirmar;Sim
150541;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000044;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;Redmi Note 11;849,89;Sim;Sim;007982209185;Sim;Não;0;Não é possível afirmar;Sim
150540;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000043;Outros;smartphone;10/07/2024;Amazon;F2;case;59,00;Não;Não;0;Não é possível afirmar;Não;0;Não é possível afirmar;Não
150539;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000042;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Infinix;3901931;848,00;Sim;Sim;051362315156;Sim;Não;0;Não é possível afirmar;Sim
150538;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000041;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Motorola;XT2321-1;4953,90;Sim;Sim;027332300330;Sim;Não;0;Não é possível afirmar;Sim
150537;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000040;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;SM-A346MZSAZTO;1648,99;Sim;Sim;219902200953;Sim;Não;0;Não é possível afirmar;Sim
150536;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000039;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Infinix;Smart 8 Pro;999,00;Sim;Sim;018532415156;Sim;Não;0;Não é possível afirmar;Sim
150535;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000038;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;Xiaomi Redmi note 13;1155,00;Sim;Sim;221962314550;Sim;Não;0;Não é possível afirmar;Sim
150534;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000037;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Motorola;PAUW0011BR |;1390,42;Sim;Sim;160332200330;Não;Não;0;Não é possível afirmar;Não
150533;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000036;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;Galaxy A55 5G;2296,56;Sim;Sim;235492300953;Sim;Não;0;Não é possível afirmar;Sim
150532;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000035;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;C3T;815,00;Sim;Sim;217622209185;Não;Não;0;Não é possível afirmar;Não
150531;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000034;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Asus;AI2302-2A061BR;4399,11;Sim;Sim;118332303109;Sim;Não;0;Não é possível afirmar;Sim
150530;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000033;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Realme;RMX3910;1449,90;Sim;Sim;027862413366;Sim;Não;0;Não é possível afirmar;Sim
150529;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000032;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Xiaomi;POCO C65;869,45;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
150528;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000031;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;SM-S926B/DS;5490,00;Sim;Sim;203882300953;Sim;Não;0;Não é possível afirmar;Sim
150527;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000030;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;Galaxy A35 ;1849,00;Sim;Sim;235482300953;Sim;Não;0;Não é possível afirmar;Sim
150526;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000029;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Motorola;XT2307-1;1799,99;Sim;Sim;117602300330;Sim;Não;0;Não é possível afirmar;Sim
150525;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000028;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;SM-S928B/DS;7899,00;Sim;Sim;206372300953;Sim;Não;0;Não é possível afirmar;Sim
150524;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000027;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Motorola;XT2421-1;745,00;Sim;Sim;205312300330;Sim;Não;0;Não é possível afirmar;Sim
150523;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000026;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Apple;iPhone 15;6775,11;Sim;Sim;127572301993;Sim;Não;0;Não é possível afirmar;Sim
150522;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000025;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Samsung;A32;1799,00;Sim;Sim;004242100953;Não é possível afirmar;Não;0;Não é possível afirmar;Sim
150521;Fiscalização de Marketplace;Concluída;INSP_PACP_20240710_000024;Celulares e Smartphones;smartphone;10/07/2024;Amazon;Positivo;P28;111,00;Sim;Sim;083131703589;Sim;Não;0;Não é possível afirmar;Sim
